key,class_name,class_description
JarOutputStream_putNextEntry,jar output stream,the jaroutputstream class is used to write the contents of a jar file to any output stream. it extends the class java.util.zip.zipoutputstream with support for writing an optional manifest entry. the manifest can be used to specify meta information about the jar file and its entries.
URLEncoder_encode,url encoder,"utility class for html form encoding. this class contains static methods for converting a string to the application/x www form urlencoded mime format. for more information about html form encoding, consult the html specification."
ComponentCallbacks2_onTrimMemory,component callbacks2,hostapduservice is a convenience service class that can be extended to emulate an nfc card inside an android service component.
OnAccountsUpdateListener_onAccountsUpdated,on accounts update listener,an interface that contains the callback used by the accountmanager
IndexedPropertyChangeEvent_getIndex,indexed property change event,"an ""indexedpropertychange"" event gets delivered whenever a component that conforms to the javabeans™ specification (a ""bean"") changes a bound indexed property. this class is an extension of propertychangeevent but contains the index of the property that has changed."
DrmUtils_getExtendedMetadataParser,drm utils,
XPathVariableResolver_resolveVariable,x path variable resolver,
PrintDocument_getInfo,print document,this class represents a printed document from the perspective of a print service. it exposes apis to query the document and obtain its data.
PathShape_draw,path shape,"creates geometric paths, utilizing the path class."
MessageQueue_removeIdleHandler,message queue,"low level class holding the list of messages to be dispatched by a looper.  messages are not added directly to a messagequeue, but rather through handler objects associated with the looper."
Parcelable_describeContents,parcelable,
LSResourceResolver_resolveResource,l s resource resolver,lsresourceresolver provides a way for applications to redirect references to external resources.
ParserFactory_makeParser,parser factory,
PropertyChangeListener_propertyChange,property change listener,"a ""propertychange"" event gets fired whenever a bean changes a ""bound"" property.  you can register a propertychangelistener with a source bean so as to be notified of any bound property updates."
